"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","314","216.9","252.4","100.7","2.155","127.7","58"
"2013-12-03","245","150.3","152.1","48","1.552","104","111"
"2013-12-04","171","120.6","140.1","35.7","1.465","98.9","124"
"2013-12-05","203","237.6","251.2","33.8","2.224","127.9","121"
"2013-12-06","423","452.4","471.5","62.1","2.98","127.3","25"
"2013-12-07","355","165.6","146.8","31.8","1.716","79.9","102"
"2013-12-08","169","108.3","85.4","22.1","1.075","60.2","117"
"2013-12-09","210","180","167.8","46","1.837","72.9","87"
"2013-12-10","164","78.6","101.7","56.2","1.206","64.6","53"
"2013-12-11","140","113","147.9","68.1","1.531","70.2","59"
"2013-12-12","117","95.4","136.5","48.6","1.195","77","62"
"2013-12-13","172","117.7","145.9","46","1.351","69","71"
"2013-12-14","83","51.6","73.2","26.4","0.848","59.7","64"
"2013-12-15","99","89.9","103.3","33.6","0.857","45.7","95"
"2013-12-16","83","22.3","24","17.8","0.549","35.3","65"
"2013-12-17","23","12.6","12.4","14.6","0.657","30","56"
"2013-12-18","34","45.8","58.9","22.2","0.727","29.4","70"
"2013-12-19","95","100.9","114.2","46.6","1.106","53","61"
"2013-12-20","202","204.9","220.7","90.1","1.743","73.4","33"
"2013-12-21","173","60.7","67","38","0.962","45.6","75"
"2013-12-22","77","55","63","26.2","0.744","45.7","52"
"2013-12-23","70","55.7","62.7","26.2","0.875","50.2","73"
"2013-12-24","124","130.8","141.8","57.7","1.443","54.1","56"
"2013-12-25","170","108.9","124.5","40.4","1.361","68.1","43"
"2013-12-26","214","220.4","244","80.7","1.693","72.9","21"
"2013-12-27","165","52.8","69.8","40","1.025","43.5","45"
"2013-12-28","106","102.4","117.5","71.9","1.506","75","46"
"2013-12-29","171","150.6","180.8","81.4","1.93","83.3","44"
"2013-12-30","195","136.5","172.3","68.6","1.622","94.5","67"
"2013-12-31","157","110.3","140.8","58.7","1.276","94.2","66"
"2014-01-01","168","146.7","180.6","62.6","1.725","98.8","91"
