"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","119","108.8","138.4","60.9","2.552","88.3","16"
"2013-12-03","115","63.8","86.2","38.5","1.558","53.7","58"
"2013-12-04","99","82.4","101.3","42.5","2.045","62","32"
"2013-12-05","84","39.4","55.9","30.4","1.196","38","58"
"2013-12-06","97","128.3","161.9","47.9","2.474","77.7","25"
"2013-12-07","234","241.3","284.8","63.9","4.207","98.3","7"
"2013-12-08","342","173.4","188.7","47","2.912","59.6","39"
"2013-12-09","100","11.2","16.3","9.7","0.599","21.7","57"
"2013-12-10","36","20.7","45.1","14.4","0.973","29.4","65"
"2013-12-11","34","19.2","29.5","14.6","0.742","30.1","48"
"2013-12-12","36","16","29.2","11.1","0.785","25.4","59"
"2013-12-13","41","47.6","63.3","29","1.31","45.3","42"
"2013-12-14","65","40.2","47.8","29.4","1.184","40.9","56"
"2013-12-15","61","46.4","54.6","31.3","1.503","48.6","44"
"2013-12-16","91","102.2","125.6","59","2.511","70.4","15"
"2013-12-17","136","59","41","34.8","1.357","39.2","54"
"2013-12-18","34","29","44.6","22.2","0.857","31.9","52"
"2013-12-19","49","45.2","60.3","29.8","1.221","49.9","44"
"2013-12-20","64","30.3","45.2","28","1.101","45.9","62"
"2013-12-21","50","60.7","80.8","43.1","1.591","69","38"
"2013-12-22","132","135.4","178","67.2","2.781","94.9","18"
"2013-12-23","200","126.2","165.8","61.7","2.886","90.3","40"
"2013-12-24","201","219.4","267.5","93.9","4.845","122.7","12"
"2013-12-25","277","168.6","219.2","65","3.26","93.7","57"
"2013-12-26","92","10","19.6","8.8","0.397","20.9","63"
"2013-12-27","25","16.2","21","19.5","0.58","33.7","48"
"2013-12-28","40","10.9","18.2","10.5","0.348","20.9","63"
"2013-12-29","59","57.8","86.9","47.7","1.726","75.7","42"
"2013-12-30","74","43.1","84.4","28.2","1.09","52.9","66"
"2013-12-31","94","50.3","147.8","23.1","1.233","49","71"
"2014-01-01","87","45","111.3","27.7","1.507","61.9","64"
"2014-01-02","119","111.4","168.5","69.3","3.431","93.1","17"
"2014-01-03","81","46.5","97.7","29","1.301","52","65"
"2014-01-04","151","114.4","147","40","2.82","75.4","10"
