"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","228","136.3","253.4","86.5","1.961","120.2","43"
"2013-12-03","199","184.4","297","108","2.535","133.3","21"
"2013-12-04","341","336.1","455.2","51.1","2.516","129.7","59"
"2013-12-05","348","278.4","386.3","52.3","2.292","109.7","88"
"2013-12-06","335","269.3","389.1","61.1","2.199","92.3","38"
"2013-12-07","335","316.2","428.7","44.1","2.925","95.2","70"
"2013-12-08","333","226.8","325.5","28.6","2.552","86.1","35"
"2013-12-09","288","153.8","243.5","35.1","1.592","53.5","56"
"2013-12-10","128","71.6","144","42.1","1.048","73.5","49"
"2013-12-11","111","94.4","185.7","52.3","1.23","73.7","56"
"2013-12-12","132","114","233.5","63.6","1.715","93.6","44"
"2013-12-13","161","124.4","222.8","61","1.375","87.4","30"
"2013-12-14","144","114.5","209.5","58.3","1.485","98.3","57"
"2013-12-15","197","162.3","253","66.5","1.366","82.2","43"
"2013-12-16","131","43.4","72.7","32.4","0.747","62.2","26"
"2013-12-17","66","54.7","79","22.2","0.731","53","25"
"2013-12-18","95","104.5","151","62.3","1.054","53.2","54"
"2013-12-19","188","177.8","244","73.6","1.42","67.1","49"
"2013-12-20","243","190","259.6","80","1.538","74.5","54"
"2013-12-21","203","115.8","171.9","68.3","1.139","78.9","52"
"2013-12-22","126","98","153.9","48.9","1.165","82.4","41"
"2013-12-23","148","122","183.1","51.9","1.123","91.5","54"
"2013-12-24","213","213.5","298.1","88.3","1.766","104.6","66"
"2013-12-25","287","256.7","383.1","137.8","2.696","136.2","34"
"2013-12-26","323","236.2","362.7","91.4","2.147","98","30"
"2013-12-27","178","46.3","122.8","42.9","0.83","54.7","58"
"2013-12-28","93","83.3","157.5","43.2","1.164","79.2","50"
"2013-12-29","134","111.1","201","61.1","1.304","81.6","53"
"2013-12-30","143","109","210.2","67","1.582","87.7","78"
"2013-12-31","144","116","218.3","44.6","1.536","89.5","80"
"2014-01-01","165","133.9","247.7","45.5","1.925","96","78"
"2014-01-02","195","159.1","287.9","76","2.366","130","81"
"2014-01-03","258","204.7","354.7","78.5","2.102","113","50"
"2014-01-04","219","170.6","284.4","58.2","1.714","78.5","28"
"2014-01-05","255","204.7","333.1","55.4","2.124","94.8","55"
"2014-01-06","173","136.4","218.4","54.3","1.291","70","87"
"2014-01-07","105","77.9","110.1","24.5","1.033","55.3","45"
"2014-01-08","79","57.5","69.2","15.3","1.051","38.4","76"
"2014-01-09","66","40.5","79.4","25.1","0.698","44.6","60"
"2014-01-10","113","84.7","140.8","42.5","0.936","71","63"
"2014-01-11","128","97.4","149.5","50.1","1.209","75.5","45"
"2014-01-12","178","136.8","188.2","52.2","1.308","71.2","86"
"2014-01-13","157","122.6","182.9","45.9","0.978","61.6","37"
"2014-01-14","95","70.1","119.1","51.4","0.93","73.1","49"
"2014-01-15","108","81.4","129.4","43.3","0.746","70.7","85"
"2014-01-16","122","92.1","148.5","44.4","1.036","87.4","68"
"2014-01-17","195","148.6","239.9","47.2","1.589","102.9","98"
"2014-01-18","347","297.2","391.3","70.6","2.052","79.3","63"
"2014-01-19","327","276.9","371.3","66.8","2.036","87.8","100"
"2014-01-20","189","123.7","261.3","42.2","1.044","59.9","89"
