"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","235","259.6","419.6","200.7","3.457","138.9","16"
"2013-12-03","283","175.3","271.2","142.6","3.225","111.1","45"
"2013-12-04","206","224.7","359.8","197.3","3.85","128.2","18"
"2013-12-05","222","95.9","182.6","100.7","2.269","69.6","26"
"2013-12-06","87","88.1","158.6","114.1","1.614","69.8","22"
"2013-12-07","203","245.5","400.5","141.2","3.05","107.5","13"
"2013-12-08","310","197.9","328.9","88.5","3.965","86.6","23"
"2013-12-09","163","23.8","42.3","40","1.017","35.4","47"
"2013-12-10","94","78.9","167.4","96.1","2.007","58.3","39"
"2013-12-11","83","39","90.7","77.6","1.42","50.9","46"
"2013-12-12","95","47","121.5","67.7","1.398","44.7","56"
"2013-12-13","66","50.1","108.5","91.6","1.588","54.6","44"
"2013-12-14","97","77.7","152.2","113.1","2.244","67.6","50"
"2013-12-15","128","120.8","222.8","176","3.285","101.9","19"
"2013-12-16","201","156.3","274.3","178.1","4.449","121.9","12"
"2013-12-17","150","93.2","131.3","123","2.995","57.1","9"
"2013-12-18","113","64.9","99.5","112.8","2.673","53.1","41"
"2013-12-19","99","74.8","123.8","120.5","2.411","62.1","42"
"2013-12-20","109","85.3","138.2","133.4","2.593","67.8","44"
"2013-12-21","98","84.3","140.1","137.6","2.152","71.9","34"
"2013-12-22","192","192.1","274","183.6","3.132","89","22"
"2013-12-23","260","263.6","405.5","259.6","5.403","126.3","16"
"2013-12-24","295","177","256.6","164.9","4.436","95.7","31"
"2013-12-25","277","320.8","462.4","212.8","4.231","109.7","34"
"2013-12-26","264","16.1","31.1","46.9","1.127","33.3","51"
"2013-12-27","43","26.1","44.1","67.1","1.252","49.5","43"
"2013-12-28","62","42.5","73.4","74.6","1.394","53.5","50"
"2013-12-29","96","99.1","174.7","146.6","2.653","69","39"
"2013-12-30","129","100.2","199.9","145.6","3.087","79","43"
"2013-12-31","134","88.9","237.6","114.9","2.494","70.9","53"
"2014-01-01","142","90.6","212.5","123","2.296","75.1","44"
"2014-01-02","145","112","223.6","132.7","3.035","96.2","15"
"2014-01-03","116","82.5","148.1","107.8","2.322","71.3","38"
"2014-01-04","69","49.9","73.1","120.1","1.357","64.8","33"
"2014-01-05","122","91.6","142.7","108.6","2.551","67.5","51"
"2014-01-06","140","105.5","142.1","85.5","2.223","68.9","25"
"2014-01-07","140","105","146.6","105.2","2.241","67.2","31"
"2014-01-08","55","33.7","59","59.2","1.209","44","60"
"2014-01-09","74","47","90.5","79.8","1.419","57.4","45"
"2014-01-10","199","152.8","242","150.5","2.531","86","27"
"2014-01-11","359","306.5","431.4","145.7","4.333","111.4","22"
"2014-01-12","135","99.3","150.5","77.9","1.915","62","52"
"2014-01-13","113","85.2","136.7","132.7","2.302","74.8","26"
"2014-01-14","150","113.7","191.1","135.9","3.241","84.5","15"
"2014-01-15","325","269","391.9","176.4","4.757","113.1","20"
"2014-01-16","284","233.4","302.2","107","3.753","85","9"
"2014-01-17","130","98","126.7","113","2.344","63.8","22"
"2014-01-18","242","195.7","269.2","141.7","4.349","88.5","31"
"2014-01-19","244","196.6","267.4","163.1","3.591","93.4","41"
"2014-01-20","68","17.9","84.2","42.7","1.169","27.8","55"
"2014-01-21","27","18.4","23.7","54.7","1.382","35.5","52"
"2014-01-22","142","107","184.8","151.1","2.372","80","31"
"2014-01-23","162","123.3","204.2","143.4","2.437","90.3","26"
"2014-01-24","245","195","300.1","175.5","4.683","114.3","9"
"2014-01-25","99","67.7","105.8","100.6","1.809","60.5","47"
"2014-01-26","57","34.6","65","70.7","1.493","55.6","46"
"2014-01-27","138","104.7","178.2","100.1","2.285","72.5","32"
"2014-01-28","84","49.5","105.9","69.7","1.59","48.9","56"
"2014-01-29","108","79.6","145.4","119.9","1.815","59.8","37"
"2014-01-30","150","111.5","185.9","88.7","2.353","48.1","64"
"2014-01-31","159","120.3","206.4","125.3","3.22","44.2","29"
"2014-02-01","73","53.2","65.2","44","1.588","33.9","24"
"2014-02-02","108","70.9","121.5","54.2","1.72","32.9","67"
"2014-02-03","52","12.4","57.5","36.7","0.883","17.3","67"
"2014-02-04","43","20.1","45.4","61.6","1.06","24","61"
"2014-02-05","55","33.7","58.9","95.6","1.413","39.9","61"
"2014-02-06","60","40.9","65.2","86.5","1.647","44.7","58"
"2014-02-07","68","49.3","70.3","84.3","1.883","51","24"
"2014-02-08","90","66","92.8","87.2","2.259","47.8","66"
"2014-02-09","30","14","22.8","46.2","1.256","23.7","66"
"2014-02-10","53","33.7","53.9","103.6","1.782","49.1","54"
"2014-02-11","85","62.1","84.9","101.6","2.026","59","67"
"2014-02-12","189","144.3","196.3","158.9","3.542","85.3","39"
"2014-02-13","132","99.3","129.2","82.8","2.137","57.2","84"
"2014-02-14","218","178.2","236.8","202","2.651","80.3","45"
"2014-02-15","247","195.8","249.4","115.3","2.502","72.5","62"
"2014-02-16","210","168.7","230.4","99","3.06","71.4","49"
"2014-02-17","68","42.9","73.8","72.2","1.601","46","70"
"2014-02-18","61","39.4","69.8","72.4","1.592","53","54"
"2014-02-19","79","57","91","99.8","1.691","63.2","56"
"2014-02-20","117","87.9","111.2","96.5","1.485","62.2","70"
"2014-02-21","235","186.3","275.9","199.6","3.278","118.4","22"
"2014-02-22","251","200.6","264.6","118.8","2.913","96.1","51"
"2014-02-23","190","143.6","169.5","67.1","1.9","65.6","22"
"2014-02-24","235","186.7","259.4","184.9","3.031","97.2","17"
