"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","65","56.6","99.2","21.1","1.552","89.8","117"
"2013-12-03","118","113.9","167","34.2","2.192","132","151"
"2013-12-04","151","102.2","138.6","30.2","1.716","97.9","125"
"2013-12-05","133","108.2","108.4","26.8","1.093","81.6","112"
"2013-12-06","123","86.6","129.1","35.3","1.354","88.7","128"
"2013-12-07","118","100.7","126.8","34.6","1.323","85.9","134"
"2013-12-08","155","106","136.2","29.3","1.52","96.2","120"
"2013-12-09","166","131.1","157","40.3","1.645","77.1","124"
"2013-12-10","181","142.9","160.5","42.9","1.704","57.7","132"
"2013-12-11","175","115.6","135.3","39","1.43","52.5","102"
"2013-12-12","132","105.9","127","32.2","1.266","64.6","58"
"2013-12-13","176","133.9","162.4","22.9","1.49","64.9","41"
"2013-12-14","138","76","95.3","5.9","1.184","46.4","37"
"2013-12-15","84","44.5","67.8","4.8","1.068","35.1","42"
"2013-12-16","34","10.8","21.4","5.6","1.269","35.7","40"
"2013-12-17","20","16.3","22.5","10.5","1.22","38.5","19"
"2013-12-18","30","18.7","27.9","10.4","0.835","22","61"
"2013-12-19","37","31","46.3","10.5","0.712","31.2","79"
"2013-12-20","56","45.7","69.5","16.4","0.824","43","84"
"2013-12-21","84","77.3","101.2","25","0.97","45.7","105"
"2013-12-22","106","76.5","96.4","28","1.017","50.9","103"
"2013-12-23","104","76.4","96.2","28.8","1.078","60.8","106"
"2013-12-24","95","71.4","93.6","29.6","1.103","58.8","107"
"2013-12-25","106","86.7","107.3","31.9","1.182","63.5","111"
"2013-12-26","111","75.9","97.6","30.1","1.044","52.2","122"
"2013-12-27","128","124.3","148.7","53","1.397","41.5","124"
"2013-12-28","172","100","132.7","31.8","1.249","53","98"
"2013-12-29","96","55.5","85.1","21.5","1.093","57.4","96"
"2013-12-30","90","81.7","114.6","33.1","1.498","88.9","99"
"2013-12-31","124","93.6","123","36.8","1.477","84.3","117"
"2014-01-01","122","98.1","128.7","29.3","1.896","98.8","103"
"2014-01-02","147","121.5","147.6","37.9","1.825","122.4","98"
"2014-01-03","180","136","172.3","30.8","1.883","110.1","122"
"2014-01-04","170","128.7","159.2","40.3","1.577","74.9","131"
"2014-01-05","151","114.4","142.8","38.6","1.416","88.9","139"
"2014-01-06","207","157","189.5","42","1.749","109.3","142"
"2014-01-07","134","101.3","123.2","29","1.417","92.3","77"
"2014-01-08","125","93.4","118","15.8","1.896","69.4","32"
"2014-01-09","67","47.8","64.9","11.9","1.476","40.9","70"
"2014-01-10","91","67.3","87","17.4","1.361","55.3","66"
"2014-01-11","133","100.4","129.5","24.1","1.642","80","88"
"2014-01-12","124","92.2","122.9","17.4","1.825","62.8","58"
"2014-01-13","61","37.3","68.4","10.1","1.153","31.3","53"
"2014-01-14","64","41","71.3","11.2","0.964","38.5","96"
"2014-01-15","90","66.4","86.4","15.1","0.972","48.6","111"
"2014-01-16","132","99.7","135.2","20.2","1.411","95.1","106"
"2014-01-17","144","108.5","150.3","22.3","1.528","99.4","117"
"2014-01-18","93","68.9","97.3","19.5","0.882","49.7","129"
"2014-01-19","136","103.3","136.3","26.3","1.147","82.1","162"
"2014-01-20","138","104.7","142.1","22","1.364","92","149"
"2014-01-21","110","82.3","115.5","27","0.968","40.1","129"
"2014-01-22","70","50.5","76.1","13","0.877","51.5","112"
"2014-01-23","120","90.8","125.2","29.1","1.413","101.2","124"
"2014-01-24","90","66.2","93.8","20","1.005","82.3","106"
"2014-01-25","96","71.4","86.3","13","1.496","88.3","60"
"2014-01-26","103","77.2","88.7","14.2","1.395","64.8","112"
"2014-01-27","124","93.3","111.3","16.2","1.188","55.5","142"
"2014-01-28","111","83.4","97.3","16.5","1.134","67.3","148"
"2014-01-29","134","101.2","115.7","15.4","1.316","74.6","180"
"2014-01-30","112","83.9","93.5","16.7","1.24","66","182"
"2014-01-31","158","118.5","138.8","24","1.133","50.7","147"
"2014-02-01","72","51.2","57.2","11.5","0.787","30.3","112"
"2014-02-02","65","46.7","53.4","10.9","0.907","37.6","125"
"2014-02-03","69","49.7","62.8","8.3","1.053","41.6","130"
"2014-02-04","72","52","63.7","8.4","1.04","33.2","106"
"2014-02-05","51","35.3","43.9","9.7","0.995","24.9","111"
"2014-02-06","41","28.4","32.7","11.1","1.04","28.7","78"
"2014-02-07","34","22.7","30","4","1.192","24.3","9"
"2014-02-08","33","22.3","29","3.9","1.149","21.2","14"
"2014-02-09","14","8.7","12.3","2.6","1.013","21.2","20"
"2014-02-10","41","29","34.7","6.7","0.955","17.2","63"
"2014-02-11","60","42.5","49.9","11.3","0.74","21","73"
"2014-02-12","71","51.4","60.7","6.7","0.741","28.5","61"
"2014-02-13","47","32.4","37.3","6.1","0.739","28.5","43"
"2014-02-14","66","47.1","54.8","9.5","0.666","26.8","78"
"2014-02-15","71","51","62.5","8.8","0.715","37.6","50"
"2014-02-16","90","66.1","85.3","15.2","1.201","57.3","19"
"2014-02-17","146","110.7","165.5","24","1.895","83.9","24"
"2014-02-18","59","42.5","62.9","11","1.39","42.9","13"
"2014-02-19","23","15.2","22","7.6","1.025","33.2","43"
"2014-02-20","40","25.6","38.1","9.7","0.637","35.7","84"
"2014-02-21","86","63.3","97.8","24.9","0.845","82.5","98"
"2014-02-22","94","69.9","86.1","18.8","0.862","69","48"
"2014-02-23","87","64.6","81.6","14.9","0.871","65.1","182"
"2014-02-24","77","55.8","81.4","21","0.796","78.8","105"
"2014-02-25","68","48.1","76.9","20","0.933","75.4","70"
"2014-02-26","85","62.2","86","15.6","1.265","66","79"
"2014-02-27","63","44.9","63.9","15","1.037","55.6","164"
"2014-02-28","63","44.7","64.9","20.1","0.862","67.2","52"
"2014-03-01","64","45.3","64.8","21.9","0.905","62.5","60"
"2014-03-02","42","28.3","40.7","29.9","1.423","42","35"
"2014-03-03","65","46.5","62.3","12.7","1.429","47.5","29"
"2014-03-04","72","52.3","72.8","13.9","1.256","53.6","35"
"2014-03-05","40","24.4","41.1","13.4","1.088","43.5","51"
"2014-03-06","86","63","87","22","1.156","64.7","46"
"2014-03-07","39","26.7","38.7","7","0.959","39.3","23"
"2014-03-08","55","38.7","55.2","15.3","0.953","43.1","27"
"2014-03-09","30","19.8","28.3","5.6","0.808","36.3","45"
"2014-03-10","49","34.5","45","9.3","0.936","41.8","40"
"2014-03-11","63","44.9","63.6","13.2","1.117","51.8","33"
"2014-03-12","170","130.3","183","18","2.635","92.7","40"
"2014-03-13","65","44.1","68.3","9.5","1.218","46.8","79"
"2014-03-14","75","54.7","76.7","10.9","0.906","44.5","91"
"2014-03-15","88","64.8","88","20","0.881","59.2","53"
"2014-03-16","121","90.9","133.5","24.4","1.172","71","39"
"2014-03-17","161","122.4","183.6","28.2","1.697","88.9","80"
"2014-03-18","100","74.5","110.1","20","1.367","71.4","81"
"2014-03-19","91","67.3","100.6","18.8","1.197","68.4","133"
"2014-03-20","104","76.6","116.5","20.2","1.374","63.4","76"
"2014-03-21","68","49","67.3","10.9","0.742","29.3","80"
"2014-03-22","75","54.2","74.8","13.5","0.911","49.6","89"
"2014-03-23","109","81.4","119","30.6","1.083","80","193"
"2014-03-24","89","61","88.5","25.9","0.977","65.4","236"
"2014-03-25","81","59.1","86.7","26.8","0.979","78.2","171"
"2014-03-26","91","67.3","92.7","28.6","1.04","71.2","203"
"2014-03-27","69","49.3","71.2","21.5","0.892","60.4","125"
"2014-03-28","54","36.6","51.7","15.5","0.791","47.7","35"
"2014-03-29","62","43.8","57.6","14","0.891","57.8","50"
"2014-03-30","54","37.2","51.8","11","1.087","55","40"
"2014-03-31","43","29.2","40.1","7.6","1.015","54.7","60"
"2014-04-01","56","39","53.8","8.6","1.32","53.4","28"
"2014-04-02","52","35.4","47.7","11","1.288","60","65"
"2014-04-03","49","33.9","48.5","8.6","1.278","61.7","92"
"2014-04-04","82","59.9","81.4","14.7","1.018","61.9","141"
"2014-04-05","97","69.5","96","24.3","0.935","69.1","198"
"2014-04-06","88","64.8","81.5","14.2","0.942","64.6","69"
"2014-04-07","76","55.8","72","16","0.927","55.3","69"
