"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2013-12-02","158","201.3","313.3","154.9","3.207","76.7","20"
"2013-12-03","186","96.5","153.4","68.7","2.063","50.4","46"
"2013-12-04","82","56.9","129.8","89.9","2.175","52.5","31"
"2013-12-05","84","40.6","104.5","70.4","1.864","48.2","46"
"2013-12-06","96","88.2","195.2","97","2.267","66.5","31"
"2013-12-07","152","124.6","218.8","84.6","2.532","77.3","30"
"2013-12-08","170","87.7","153.6","61.9","2.005","51.6","30"
"2013-12-09","79","31.2","82.4","50.1","1.505","43.2","44"
"2013-12-10","88","74.2","164.7","68.2","2.111","53.1","29"
"2013-12-11","101","70.9","147.4","61","2.593","57.9","45"
"2013-12-12","94","78.1","139.8","84","2.985","65.9","33"
"2013-12-13","120","105.7","156.8","89.8","3.472","75.5","33"
"2013-12-14","137","96.4","148.3","99.3","3.313","69.8","26"
"2013-12-15","96","58.7","101.9","59.1","2.757","52.2","41"
"2013-12-16","106","96.6","152.3","61","3.076","63.7","22"
"2013-12-17","181","208","348.8","80.5","3.371","69.2","22"
"2013-12-18","414","415","605.9","76.2","3.947","86.6","19"
"2013-12-19","500","420.5","608.5","88.5","4.115","83.5","16"
"2013-12-20","500","424.2","605.3","111.2","4.244","96.4","16"
"2013-12-21","452","379","518.2","92.4","4.372","86.8","16"
"2013-12-22","437","431","580.6","135.8","5.05","96.2","18"
"2013-12-23","499","531.3","727.5","114.4","5.814","118.3","18"
"2013-12-24","500","598.8","819","129","6.208","126","19"
"2013-12-25","500","520.6","736.4","114.2","6.344","118.6","27"
"2013-12-26","353","103.7","185.1","51.8","2.941","55.1","34"
"2013-12-27","92","82.2","154.1","60.8","2.805","56.6","33"
"2013-12-28","145","110.5","180.8","69.7","3.181","66.4","38"
"2013-12-29","141","128.5","219.4","84","3.569","78","34"
"2013-12-30","170","98.6","168.8","57.6","3.494","68","43"
"2013-12-31","106","68.1","137.4","52.8","3.583","60","43"
"2014-01-01","108","91.1","189.3","70.7","3.892","67.5","32"
"2014-01-02","125","88.7","178.3","65.5","3.653","64.1","33"
"2014-01-03","93","49.5","133.9","49.3","2.695","52","46"
"2014-01-04","116","73.7","173.3","67","3.369","65.3","27"
"2014-01-05","199","151.3","288","107.8","4.15","81.9","19"
"2014-01-06","218","167.7","311.3","146.6","4.252","84.4","16"
"2014-01-07","125","89.5","165","64","3.037","52.5","19"
"2014-01-08","73","34.2","94.6","45.3","2.409","40.4","43"
"2014-01-09","97","64.3","139.3","79.8","2.764","54.5","21"
"2014-01-10","179","135.9","235.7","119","3.032","75.9","17"
"2014-01-11","168","128.5","217.7","93.7","2.704","67.8","28"
"2014-01-12","93","48.1","134.2","62.6","2.171","55.7","35"
"2014-01-13","120","81.1","186.1","75.7","2.759","63.4","22"
"2014-01-14","185","139.9","264.1","97.3","3.369","80.9","19"
